gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound
10904	10904	93.00	18.00	0.00	0.00	0.00	0.00	0.00	3.96	3.57	4.74037e-05	11.7655	4.26317e-05	10.6001
12954	12954	94.00	19.00	0.00	0.00	0.00	0.00	0.00	3.75	3.38	0.000227699	11.242	0.000204928	10.1302
12956	12956	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12958	12958	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	0.000318195	30.3963	0.000286669	27.3845
12960	12960	73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12962	12962	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12964	12964	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12965	12965	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	0.000198696	30.4242	0.000178819	27.3975
12967	12967	73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12969	12969	73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12971	12971	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12973	12973	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12975	12975	73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12977	12977	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12979	12979	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12981	12981	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	0.000242395	30.7179	0.00021803	27.6598
12983	12983	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	0.000196665	30.3399	0.000177007	27.3494
12985	12985	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12987	12987	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	0.000266935	30.6325	0.000240828	27.5913
12989	12989	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	8.22187e-05	30.485	7.41171e-05	27.4552
12991	12991	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12993	12993	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
12995	12995	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	7.32749e-05	30.3978	6.60939e-05	27.3766
12997	12997	82.00	7.00	0.00	0.00	0.00	0.00	0.00	10.19	9.17	5.51107e-05	30.6947	4.95933e-05	27.6477
12999	12999	87.00	12.00	0.00	0.00	0.00	0.00	0.00	5.94	5.35	9.41698e-05	17.9121	8.47891e-05	16.1316
13001	13001	73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
13003	13003	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
13004	13004	94.00	19.00	0.00	0.00	0.00	0.00	0.00	3.75	3.38	0.000109318	11.2915	9.83357e-05	10.1682
13005	13005	76.00	1.00	0.00	0.00	0.00	0.00	0.00	71.32	64.21	0.000957188	213.925	0.000864186	192.686
13006	13006	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
13007	13007	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
13008	13008	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
13009	13009	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
